prodid,prodname,emailadd,password,region,gender,phoneno,recoemail,approleid
1,Sony Music Entertainment,asdf@gmail.com,123456,asian,male,512451335,recov@gmail.com,3
2,Universal Music Publishing Group,qwer@gmail.com,123456,us,female,547842135,recov@gmail.com,3
3,Warner Music Group,Zzxcv@gmail.com,123456,us,male,845415322,recov@gmail.com,3
4,island records,sjid@gmail.com,123456,uk,male,518764652,recov@gmail.com,3
5,bmg rights management,ilkxijv@gmail.com,123456,uk,female,513256954,recov@gmail.com,3
6,abc-paramount records,ijlkji@gmail.com,123456,australia,male,852231521,recov@gmail.com,3
7,virgin records,qpiee@gmail.com,123456,us,female,125184354,recov@gmail.com,3
8,red hill records,zijle@gmail.com,123456,japan,female,845435453,recov@gmail.com,3
9,atlantic records,asdv@gmail.com,123456,us,male,458454652,recov@gmail.com,3
10,def jam recordings,pinlsd@gmail.com,123456,us,male,153215145,recov@gmail.com,3
